Loại Kiến Thức,TT,QUESTIONS,A,B,C,D,ANS,rating
,355,The speed reductions not exceeding plus/minus 40km/h (20kt) IAS should be used for :,Aircraft on inital and intermediate approach segments.,Aircraft on  intermediate approach segments.,Aircraft on intermediate  and final approach segments.,Aircraft on final approach segments.,3,SUP
,356,Radar separation based upon primary radar shall be the distance:,Between the edges of the radar blips,Between the centers of the radar blips.,Between the edges of one blip and the center of the other.,Between the nearest edges of  the blips.,2,SUP
,357,Transfer of identity of a radar blip from the radar controller to another should be attempted wheen it is considered that:,The aircraft is on the frequency of the accepting controller.,The aircraft is over the common boundary.,The aircraft is within the coverage of the accepting controller’s rasdar display.,The aircraft reports over the last fix displayed on the radar display of transferring controller.,3,SUP
,358,"For traffic on reciprocal tracks where lateral separation is not provide, vertical separation shall be kept at least…………prior to and after the time the aircraft are estimated to pass, or are estimated to have passed.",10 minutes,5 minutes,15minutes,As long as the aircraft are estimated to have passed each other.,1,SUP
,359,"According to the 125 Decree on Air Traffic Management: The Operation Department (Ministry of Nation Defense) shall designate and  air traffic control services, aeronautical information services providers of danger areas at least………hours prior any operations performed that may give risk to civil flight operations.",12,24,48,72,2,SUP
,360,"The generation of minimum safe altitude warnings is a function of an ATC radar-processing system. The objective of the MSAW function is to assist in the prevention of controlled flight into………………accidents by generating in a timely manner, a warning of the possible infringement of a minimum safe altitude.",Traffic,Moutain,Terain,Balloon,3,SUP
,361,"The criterion which shall be used to determine that a specific level is occupied by an aircraft shall be +_60m(200ft) in RVSM airspace. In  other airspace, it shall be………..,except that the appropriate ATS authority may specify a smaller criterion, but not less than +_60m(200ft), if this is found to be more practical.",+_90m(300ft),    +_60m(200ft),    +_30m(100ft),    +_120m(400ft),1,SUP
,362,"When SSR radar is not available, radar identification may be achieved by instructing the aircraft to make heading changes of at least:",10 degrees,20 degrees,30 degrees,40 degrees,3,SUP
,363,Vertical separation if other known traffic behind aircraft dumping fuel within 15 minutes flying time or a distance of 93km (50NM) by at least 300m (1000ft) if above the aircraft dumping fuel; and,At least 600m (2000ft) if below the aircraft dumping fuel.,At least 300m (1000ft) if below the aircraft dumping fuel.,At least 900m (3000ft) if below the aircraft dumping fuel.,At least 1200m (4000ft) if below the aircraft dumping fuel.,3,SUP
,364,"Whenever a code is assigned to an aircraft, the setting of this code shall be verified by controller:",At the first contact.,At the second communication,At the appropriate opportunity,At the earliest opportunity,4,SUP
,365,The Director of Airport Authority shall decide to temporarily close an airport or aerodrome for not more than ……….hours and report such decision to the Minister of Transport without delay.,72,48,36,24,4,SUP
,366,Who have  the right to open an airport or aerodrome   based on the airport or aerodrome system plans?,The Prime Minister,The Minister of Transport,The Director of Airport Authority,None of above,1,SUP
,367,"Vietnamese and foreign aircraft operating international flights shall be permitted only to take off and land at the international  airports. In the case of take off and landing at domestic airports  or aerodromes, the shall acquire approval from the:",The Minister of Transport,The  Director of Airport Authority,The Prime Minister,Minister of  Nation Defense,3,SUP
,368,The establishment and operation of airways shall be approved by:,The Prime Minister,The Minister of Transport,General Director of VATM,The Minister of Nation Defense,1,SUP
,369,Who has the right to grant flight permission to foreign VIP flights carrying the guests of the Party and State and escorting flights or other flights associated with the VIP flight.,The Prime Minister,The Minister of Transport,Minister of  Nation Defense,Ministry of Foreign Affairs,4,SUP
,370,"…………………shall decide to establish the prohibited and restricted area inthe territory of VietNam in order to ensure the national defense, security, and social safety.",The Prime Minister,The Minister of Transport,Minister of  Nation Defense,Ministry of Foreign Affair,1,SUP
,371,"If an arriving aircraft is making a straight-in approach, a departing aircraft may take off in any direction until……….. before the arriving aircraft is estimated to be over the instrument runway.",10 minutes.,2 minutes.,5 minutes.,3 minutes.,3,SUP
,372,"If an arriving aircraft is making a complete instrument approach, a departing aircraft may take off in any direction until:",The arriving aircraft has started its procedure turn or base turn leading to final approach.,The arriving aircraft has commenced initial approach.,The arriving aircraft has entered ILS glide path.,The pilot of the arriving aircraft has observed the departing aircraft.,1,SUP
,373,Radar separation between two wake turbulence category “ HEAVY” aircrafts on final shall be at least:,3NM.,4NM.,5NM.,6NM.,2,SUP
,374,"When aircraft operating within controlled airspace needs to dump fuel, the flight crew shall advise ATC. The ATC unit should then coordinate with the flight crew the following: the route to be flown, which, if possible, should be clear of cities and towns, preferably over water and away from areas where thunderstorms have been reported or are expected; The duration of the fuel dumping;The level to be used, which should be not less than……….",       1800m(6000ft).,      1500m(5000ft),       1200m(4000ft).,      900m(3000ft).,1,SUP
,375,Other known traffic should be separated from the aircraft dumping fuel by:,"At least 19km(10NM) horizontally, but not behind the aircraft dumping fuel.",Vertical separation if behind the aircraft dumping fuel within 10 minutes flying time or a distance of 93km(50NM)….,"At least 19km(10NM) horizontally, but not front of the aircraft dumping fuel.","At least 37km(20NM) horizontally, but not behind the aircraft dumping fuel.",1,SUP
,376,"To determine effect of wake turbulence, aircraft are grouped into the following categories:","CAT I, CAT II, CAT III;","SMALL, MEDIUM, LARGE;","LIGHT, MEDIUM, HEAVY;","CAT A, CAT B, CAT C.",3,SUP
,377,The controller shall…………. To ascertain that the clearance or instruction has been correctly acknowledge by flight crew and shall take immediately action to correct any discrepancies revealed by the………….,Observe…….listen,Readback………listen.,Listen……….readback., Readback……readback.,3,SUP
,378,Minimum flight altitude ensures (according to Annex II rules of the air):,At least 300m(1000ft) above MSL.,At least 300m(1000ft) above terrain.,"At least 300m(1000ft) above highest obstacle in plain area, 600m above highest obstacle in high terrain mountainuos area.",Non of the above.,3,SUP
,379,Which aircraft along the following has first priority:,Departing aircraft.,Taxiing aircraft.,Arriving aircraft on final approach.,Arriving aircraft in the traffic pattern.,3,SUP
,380,An aircraft making a radar approach should be advised to consider executing a missed approach if the aircraft is not visible on the radar display for significant interval during the last…….. of the approach.,5 NM,4 NM,3 NM,2NM,4,SUP
,381,Speed adjustments may not be requested or applied after the aircraft has passed a point of…………… from the threshold on final approach: ,3 NM,4 NM,5 NM,8 NM,2,SUP
,382,"Before providing radar service to an aircraft, the radar controller shall:",Establish radar identity of that aircraft.,Provide the radar information to the aircraft.,Request the pilot to change heading 30 degrees or more.,Instruct the pilot to operate SPI feature.,1,SUP
,383,"When two or more aircraft are at the same cruising level, the……aircraft shall normally have priority:",Preceding,Succeeding,Fastest,Biggest,1,SUP
,384,Time separation minima between holding aircraft in a holding pattern and en-route aircraft which are on the same flight level is:,10 minutes,5 minutes,3 minutes,As long as outbound time is,2,SUP
,385,"A light aircraft is approaching for landing behind a heavy aircraft, the time separation minima between them must be:",1 minute,2minutes,3 minutes,4 minutes,3,SUP
,386,A radiotelephony distress message transmit by an aircraft should commence with the word “………”,SOS,MAYDAY,PANPAN,EMERGENCY,2,SUP
,387,The standard controller-pilot phraseology for a controller to ascertain the RVSM approval status of an aircraft is:,( call sign) confirm RVSM approved.,( call sign) affirm RVSM.,( call sign) do you have RVSM approval.,Non of the above.,1,SUP
,388,"When two-way communication is lost, a pilot should select ____ on the transponder",Code 7500,Code 7600,Code 7700,Code 2000,2,SUP
,389,"What does a clearance for ""Immediate Takeoff"" mean",Line up immediately after the landing aircraft,Have all the approriate checks complete before entering runway,The subsequent taxi and takeoff shall be completed in one continuous movement,"Enter the runway, apply the brakes, set full power, release the brakes and take off without further clearance",3,SUP
,390,"Reference to AIP Viet Nam, The Class D airspace are classified and designated in accordance with the following :","The responsibility areas of the TWRs at the civil aerodromes, the aerodromes (using both civil and military) over the territory of Viet Nam (except CTR of Noi Bai , Da Nang, Tan Son Nhat).","On the ATS routes: From minimum flight level to 6 000 M.
TMA: Noi Bai, Tan Son Nhat.
CTR: Noi Bai, Tan Son Nhat, Da Nang","Unspecified airspace;
The responsibility areas of the TWRs of which operations are based on time limits or from sunrise to sunset: out of operation time and service provided.","Above 14 000 M
Lateral limit: Ha Noi and Ho Chi Minh FIRs.
From 2 000 M to 6 000 M
Lateral limit: Ha Noi and Ho Chi Minh FIRs, except ATS routes and TMA, CTR of C and D classes.",1,SUP
,391,"Reference to AIP Viet Nam, The Class E airspace are classified and designated in accordance with the following :","Lateral limit: Ha Noi and Ho Chi Minh FIRs
Vertical limit: from 6 000 M to 14 000 M","On the ATS routes: From minimum flight level to 6 000 M.
TMA: Noi Bai, Tan Son Nhat.
CTR: Noi Bai, Tan Son Nhat, Da Nang","Unspecified airspace;
The responsibility areas of the TWRs of which operations are based on time limits or from sunrise to sunset : out of operation time and service provided.","Above 14 000 M
Lateral limit: Ha Noi and Ho Chi Minh FIRs.
From 2 000 M to 6 000 M
Lateral limit: Ha Noi and Ho Chi Minh FIRs, except ATS routes and TMA, CTR of C and D classes.",3,SUP
,392,Surveillance radar:,Radar equipment used to determine the altitude of an aircraft.,Radar equipment used to determine the position of an aircraft in range and azimuth.,Radar equipment used to determine the position of an aircraft in range.,Radar equipment used to determine the position of an aircraft in azimuth.,2,SUP
,393,Mode A code to provide recognition of an aircraft in an emergency:,Code 7100.,Code 7500.,Code 7600.,Code 7700.,4,SUP
,394,Mode A code to provide recognition of an aircraft with radio communication failure:,Code 7200.,Code 7500.,Code 7600.,Code 7700.,3,SUP
,395,Mode A code to provide recognition of an aircraft which is being subjected to unlawful interference:,Code 7400.,Code 7500.,Code 7600.,Code 7700.,2,SUP
,396,Mode A code shall be reserved to provide recognition of an aircraft which has not received any instructions from air traffic control units to operate the transponder.,Code 2000.,Code 2100.,Code 2200.,Code 2300.,1,SUP
,397,The Mode A code shall be manually selected from……….,The 1 096 codes available.,The 2 096 codes available.,The 3 096 codes available.,The 4 096 codes available.,4,SUP
,398,"Air traffic service, a generic term meaning variously, shall comprise:",Flight information service.,"Alerting service, air traffic advisory service.",Air traffic control service.,All above.,4,SUP
,399,The order of priority for the transmission of messages in the aeronautical fixed telecommunication network shall be as follows: Transmission priority indicator,SS DD FF GG KK.,DD FF GG KK SS.,FF GG KK SS DD.,GG KK SS DD FF.,1,SUP
,400,The four-letter location indicators are listed in …………,Doc 8585,Doc 7910.,Doc 8186.,Doc 9432.,2,SUP
,401,The three-letter designators are listed in………,Doc 7910.,Doc 8186.,Doc 8585.,Doc 9432.,3,SUP
,402,"AFTN destination stations shall retain, for a period of at least……..",90 days.,60 days.,45 days.,30 days.,4,SUP
,403,"Except for reasons of safety, no transmission shall be directed to an aircraft ………",During take-off.,During the last part of the final approach.,During the landing roll.,All of the above.,4,SUP
,404,Airborne collision avoidance system (ACAS).,An aircraft system based on secondary surveillance radar (SSR) transponder signals.,An aircraft system based on primary radar signals.,1 or 2,  1 and 2,1,SUP
,405,Pressure-altitude: An atmospheric pressure expressed in terms of …which corresponds to that pressure in the Standard Atmosphere.,Flight level.,Altitude.,Height.,Airspace.,2,SUP
,406,Radio navigation service: A service providing …or position data for the efficient and safe operation of aircraft supported by one or more radio navigation aids.,Weather information.,ATIS  information.,Guidance information.,Departure information.,3,SUP
,407,Touchdown is the point where the nominal glide path intercepts..........,The outer marker.,The localizer.,The final course.,The runway.,4,SUP
,408,ILS reference datum :A point at a specified height located above the intersection of the runway centre line and the threshold and through which …extended straight portion of the ILS glide path passes.,The downward.,The upward.,1 and 2.,1 or 2,1,SUP
,409,The DME system shall comprise: ,one component fitted in the aircraft.,one component installed on the ground.,          1 or 2,         1 and 2,4,SUP
,410,Air-ground communication:,One-way communication between aircraft and stations or locations on the surface of the earth.,Two-way communication between aircraft and stations or locations on the surface of the earth.,1 or 2.,1 and 2,2,SUP
,411,Air-to-ground communication:,One-way communication from aircraft to stations or locations on the surface of the earth.,Two-way communication from aircraft to stations or locations on the surface of the earth.,1 or 2.,1 and 2,1,SUP
,412,Ground-to-air communication:,One-way communication from stations or locations on the surface of the earth to aircraft.,Two-way communication from stations or locations on the surface of the earth to aircraft.,1 or 2.,1 and 2,1,SUP
,413,Controller-pilot data link communications (CPDLC). ,"A means of communication between controllers, using data link for ATC communications.","A means of communication between controller and pilot, using data link for ATC communications.","A means of communication between pilots, using data link for ATC communications.",None of the above.,2,SUP
,414,Air-report: ,A report from an aircraft in flight.,A report from an aircraft on ground.,A report from an aircraft in the air.,A report from an aircraft in hangar.,1,SUP
,415,Distress messages (priority indicator SS).,This message category shall comprise those messages sent by mobile stations reporting that they are threatened by grave and imminent danger.,This message category shall comprise those messages sent by mobile stations reporting that they are in danger.,This message category shall comprise those messages sent by ATC unit reporting that they are in danger.,This message category shall comprise those messages sent by area control centre reporting that they are in danger.,1,SUP
,416,Urgency messages (priority indicator DD).,"This category shall comprise messages concerning the safety of a ship, aircraft or other vehicles, or of some person on board or within sight.",This category shall comprise messages concerning the safety of a ship.,This category shall comprise messages concerning the safety of an aircraft.,This category shall comprise messages concerning the safety of some person on board.,1,SUP
,417,What is a PAPI,Precision Approach Power Indicator,Precision Approach Path Indicator,Precision Approach Power Index,Precision Approach Path Index,2,SUP
,418,PANS-OPS means,Procedures for Air Navigation Systems - Airfield Operations,Procedures for Air Navigation Services - Aircraft Operations,Pilots Alternate Navigational Systems and Operational Procedures,Primary Alternate Navigational Systems and Operational Procedures,2,SUP
,419,PANS are,Procedures for Air Navigation Services,Procedures for Air Navigation Standards,Pratices for Air Navigation Services,Practices for Air Navigation Standards,1,SUP
,420,VORTAC is,A combined VOR and TACAN combination where bearing is from the VOR element and the range from TACAN element,A combined VOR and TACAN combination where bearing is from the TACAN and the range from VOR,Range and bearing are supplied from TACAN element and the VOR is a switch on device,TACAN refined for missed approach positioning,1,SUP
,421,"With increasing altitude, the rate of climb will:  ",Decrease,Remain constant,Increase,Become zero,1,SUP
,422,"If the aircraft mass increases, how does the rate of climb:  ",Become zero,Remain constant,Increase,Decrease,4,SUP
,423,A headwind will:  ,It increases true rate of climb in feet per minute,It has no effect on the climb path over the ground,It reduces climb gradient and increases ground distance,"It does not increase rate of climb, but increases climb gradient and reduces ground distance during climb",4,SUP
,424,"In a standard  atmosphere and at the sea level, the calibrated airspeed (CAS) is:  ",higher than the true airspeed (TAS),independent of the true airspeed (TAS),equal to the true airspeed (TAS),lower than the true airspeed (TAS),3,SUP
,425,An airspeed indicator displays:  ,IAS,EAS,CAS,TAS,1,SUP
,426,"On board an aircraft, the altitude is measured from the:",pressure altitude,standard altitude,temperature altitude,density altitude,1,SUP
,427,"With regards to the optimum altitude during the cruise, the aircraft is:  ",At a fixed altitude independent of aircraft mass,Always at the aircraft service ceiling,At the altitude giving optimum specific range or economy; optimum altitude generally increases as mass decreases,At the lowest altitude permitted regardless of mass,3,SUP
,428,Which Annex contains the standard and recommended Practices for all types of aeronautical charts ?,       Annex 4,      Annex 14,       Annex 5,      Annex15,1,SUP
,429,What are the international aviation distress signals? ,SOS,MAYDAY,PANPAN,All the above,2,SUP
,430,Pilots should notify air traffic control if  the variation in true aispeed at criusing level between the reporting point vary by:  ,±5%,±4%,±3%,±2 %,1,SUP
,431,The pilot of the jet aircraft wish to reach the destination with the minimum use of fuel. They should fly at:  ,Maximum range cruise speed,Best landing speed,Long range cruise speed,Minimum power speed,1,SUP
,432,When descending below the optimum altitude at the long range cruise speed:  ,       Mach number decreases,      TAS increases,       Mach number remains constant,      Mach number increases,1,SUP
,433,What will be the influence of the aeroplane performance if aerodrome pressure altitude is increased?  ,Performance decreases: take-off distance increases and rate of climb decreases,Engine thrust increases enough to offset density effects,Only indicated airspeed changes; performance is unaffected,Performance improves: take-off distance decreases and rate of climb increases,1,SUP
,434,"For a jet transport aeroplane, which of the following is the reason for the use of maximum range speed  ",Minimum specific fuel comsumption,Minimum fuel flow,Longest flight duration,Minimum drag,1,SUP
,435,An aircraft with 180 minutes ETOPS approval must be:  ,Able to fly for 180 minutes after total fuel exhaustion,"Within 180 minutes at the approved one-engine-inoperative cruise speed from an adequate en-route alternate, with ETOPS approval",Within 180 NM of the departure aerodrome at all times,Restricted to flights of no more than 180 minutes total duration,2,SUP
,436,All current civil SSR systems use :  ,The same frequencies i.e. 1030 MHz for the ground to air transmission and 1090 MHz for the air to ground transmission.,The same frequencies i.e. 1090MHz for the ground to air transmission and 1030MHz for the air to ground transmissions.,The same frequency i.e. 1030MHz for transmissions on both directions.,The same frequency i.e. 1090MHz for transmissions on both directions.,1,SUP
,437,If an unidentified aircraft is approaching heading on the controlled aircraft what action should be taken by the radar controller?,       Immediately turn the controlled aircraft to the right,      Descend the controlled aircraft to fly below the unidentified aircraft,       When the aircraft is 5 miles apart turn the controlled aircraft to the right,      Immediately climb the controlled aircraft,1,SUP
,438,How is Flight Visibility defined? ,The visibility reported by a pilot currently flying in the vicinity,The measured visibility assessed by a certified meteorological observer,The visibility forward from the flight deck of an aeroplane in flight,The forecast visibility at 3000 ft above the aerodrome,3,SUP
,439,An aircraft is considered to overtake another if it approaches the other aircraft from the rear on a line forming an angle of less than:,60 degrees with the plane of symmetry of the latter,50 degrees with the plane of symmetry of the latter,80 degrees with the plane of symmetry of the latter,70 degrees with the plane of symmetry of the latter,4,SUP
,440,Pilots should notify air traffic control a revised estimated time if the reported  estimate for the reporting point is found to be in error in excess of:,±5 minutes,±4 minutes,±3 minutes,±2 minutes,3,SUP
,441,"An aircraft flying above the sea between 4,500ft MSL and 9000ft MSL outside controlled airspace under VFR , must remain on principle at least:",Clear of clouds and sight of surface ; 8km visibility,"2000ft horizontally , 1000ft vertically from clouds ; 5 km visibility","1500m  horizontally , 1000ft vertically from clouds ; 5 km visibility","1500m horizontally , 1000ft vertically from clouds ;8 km visibility",3,SUP
,442,What are the international aviation urgency signals?,SOS,MAYDAY,PANPAN,All the above,3,SUP
,443,"If an arriving aircraft is making a straight-in approach, a departing aircraft may take off in any direction until……….. before the arriving aircraft is estimated to be over the instrument runway.",10 minutes.,2 minutes.,5 minutes.,3 minutes.,3,SUP
,444,Radar separation between two wake turbulence category “ HEAVY” aircrafts on final shall be at least: ,3NM.,4NM.,5NM.,6NM.,2,SUP
,445,"When aircraft operating within controlled airspace needs to dump fuel, the flight crew shall advise ATC. The ATC unit should then coordinate with the flight crew the following: the rout to be flown, which, if possible, should be clear of cities and towns, preferably over water and away from areas where thunderstorms have been reported or are expected; The duration of the fuel dumping;The level to be used, which should be not less than……….",1800m(6000ft).,1500m(5000ft),1200m(4000ft).,900m(3000ft).,1,SUP
,446,The MSA provides obstacle clearance in a circle with a radius of:,15NM.,20NM.,25NM,30NM,3,SUP
,447,"To determine effect of wake turbulence, aircraft are grouped into the following categories:","CAT I, CAT II, CAT III;","SMALL, MEDIUM, LARGE;","LIGHT, MEDIUM, HEAVY;","CAT A, CAT B, CAT C.",3,SUP
,448,"If an arriving aircraft is making a complete instrument approach, a departing aircraft may take off in any direction until:",The arriving aircraft has started its procedure turn or base turn leading to final approach.,The arriving aircraft has commenced initial approach.,The arriving aircraft has entered ILS glide path.,The pilot of the arriving aircraft has observed the departing aircraft.,1,SUP
,449,The controller shall…………. To ascertain that the clearance or instruction has been correctly acknowledge by flight crew and shall take immediately action to correct any discrepancies revealed by the…..,Observe…….listen,Readback………listen.,Listen……….readback., Readback……readback.,3,SUP
,450,Which aircraft along the following has first priority:,Departing aircraft.,Taxiing aircraft.,Arriving aircraft on final approach.,Arriving aircraft in the traffic pattern.,3,SUP
,451,"When an aircraft will pass through the level of another aircraft on crossing tracks, the longitudinal separation minima is………………when the level is crossed:",10 minutes if preceding aircraft is 74km/h(40kt) or more faster than the following.,10 minutes if the track are 30 degrees or more divergent.,15 minutes.,2 and 3,3,SUP
,452,"The criterion which shall be used to determine that a specific level is occupied by an aircraft shall be ±60m(200ft) in RVSM airspace. In  other airspace, it shall be………..,except that the appropriate ATS authority may specify a smaller criterion, but not less than ±60m(200ft), if this is found to be more practical.",+_90m(300ft),    +_60m(200ft),    +_30m(100ft),    +_120m(400ft),1,SUP
,453,An IFR flight may be cleared to execute a visual approach provided the pilot can maintain visual reference to the terrain and the reported ceiling is…………..the level of the beginning of the initial approach segment for the aircraft so cleared; or the pilot reports at the level of the beginning of the………..or at any time during the instrument approach procedure that the meteorological conditions are such that with reasonable assurance a visual approach and landing can be completed.,Below…………final approach segment.,At or above…….initial approach segment.,Upper………..missed approach procedure,Below……………intermediate approach segment.,2,SUP
,454,Vertical separation if other known traffic behind aircraft dumping fuel within 15 minutes flying time or a distance of 93km (50NM) by at least 300m (1000ft) if above the aircraft dumping fuel; and,At least 600m (2000ft) if below the aircraft dumping fuel.,At least 300m (1000ft) if below the aircraft dumping fuel.,At least 900m (3000ft) if below the aircraft dumping fuel.,At least 1200m (4000ft) if below the aircraft dumping fuel.,3,SUP
,455,The final vector shall enable the aircraft to be established in level flight on the final approach track prior to intercepting the specified or norminal glide path if an ILS or radar approach is to be made and should provide an intercept angle with the final approach track of ……………..,30 degrees or less,45  degrees or less,25  degrees or less,Non of above,2,SUP
,456,Red pyrotechnic directed by tower to an aircraft in flight means:,Return for landing,"Not withstanding any previous instruction, do not land for the time being.",Give way to other aircraft and continue circling.,Clearance to and taxi will be given in due course.,2,SUP
,457,"In the event of a delay of …..minutes in excess of the estimated off-block time for a controlled flight or delay of …minutes for an uncontrolled  flight for which a flight plan has been submitted , the flight plan should be amended or a new flight plan submitted and the old flight plan cancelled, whichever is applicable : ","30,30","30,60","60,30","60,60",2,SUP
,458,"If a pilot who has experienced two-way radio failure during an IFR flight proceeds according to his latest clearance , which was the navigational aid serving his destination airport , where should he commence his descent for landing ?",When he is 80 miles from the airport,When he enters the TMA,When he is over the airport,From the navigational aid serving his destination,4,SUP
,459,Aircraft taxiing in the manoeuvring area must give way to,Departing traffic,Landing traffic,Departing and landing traffic,follow-me vehicles,3,SUP
,460,"For the purpose of wake turbulence separation, what is the ICAO minimum radar separation distance if a heavy aeroplane is following directly behind another heavy aeroplance on the approach to the same runway ? ",3.7 km (2 NM),7.4 km (4 NM),9.3 km (5 NM),11.1 km (6 NM),2,SUP
,461,"An operator must ensure that, for the duration of each flight, be kept on the ground a copy of the :",flight route sheet,operation flight plan.,ATC (Air Traffic Control) flight plan,flight plan processing,2,SUP
,462,Visual approach is : ,An approach made by an IFR flight when either part or all of an instrument approach procedure is not completed,An approach made by VFR flight,Executed in visual reference to terrain,1 and 3,4,SUP
,463,Clearance limit means : ,The point to which an aircraft is granted an air traffic control clearance,The destination airport at which an aircraft plans to arrive.,The flight level at which an aircraft plans to fly.,To point at which an aircraft is going to hold.,1,SUP
,464, Touchdown zone is: ,"The portion of a runway, beyond the threshold, where it is intended landing airplanes first contact the runway","The portion of a runway, at the threshold, where it is intended landing airplanes first contact the runway.",The beginning of a runway where it is intended landing airplanes first contact the runway.,The portion of a runway where it is intended landing airplanes first contact the runway.,1,SUP
,465,Expected approach time is : ,"The time at which ATC expects that an arriving aircraft, following a delay will leave the holding point to complete its approach for landing.",The time at which the pilot of an arriving aircraft expects to leave the holding point to complete its approach for landing,The time at which it is estimated that an arriving aircraft will commence its approach for landing,All the above,1,SUP
,466,Missed approach procedure is : ,The procedure to be followed if the aircraft cannot land,The procedure which aircraft uses when there are any obstacles on the runway-in-use,The procedure to be commenced by aircraft at decision height,The procedure to be followed if the approach cannot be continued,4,SUP
,467,Cruising levels at which a flight is to be conducted mean : ,Flight levels.,Altitudes.,Flight level for flights at or above the lowest usable flight level or altitude for flights below the lowest usable flight level.,Flight level used for en-route flight,4,SUP
,468,"After an aircraft has been intercepted in flight, the intercepted aircraft is rocking its wings. This means",Unable to comply,No,You are not to enter this airspace,"Understood, will comply",4,SUP
,469,Thinking on human reliability is changing:,       It is thought that will be possible to eliminate errors in the near future.,      Human errors are now considered as being inherent to the cognitive function of human and are generally inescapable .,       Human errors can be avoide All it takes is to be vigilant and to extend one’s knowledge.,      The individual view of safety has gradually replaced the systemic view of safety.,2,SUP
,470,Which of the following statements in regard to motivation is correct?,Too much motivation may result in hypovigilance and thus in a decrease in attention,Motivation will reduce the task automation process,Low motivation will guarantee adequate attention management capabilities,Extremely high motivation in combination with excessive stress will limit attention management capabilities,4,SUP
,471,"Once detected, an error will result in cognitive consequences which: ",Are prompted by inductive factors,Have virtually no interaction with behavior,Make it possible to modify behavior with a view to adaptation,Destabilize cognitive progress and maintain the error,3,SUP
,472,"What are the various factors which guide attention?
1: the level of automation of behavior 
2: response time
3: the salience of the information
4: expectations  ","1,4","1,2","2,3,4","1,3,4",4,SUP
,473,An important aspect of Situational Awareness is: ,When individual's perception equals (matches) reality,When individual's perception higher than reality,When individual's perception lower than reality,None of above,1,SUP
,474,The ability to monitor information which could indicate the development of a critical situation:,is necessary to maintain good situational awareness,"is dangerous, because it distracts attention from flying the aircraft",makes no sense because the human information processing system is limited anyway,is responsible for the development of inadequate mental models of the real world,1,SUP
,475,Stress is above all: ,"       A response by man to his problems, which automatically leads to a reduction in his performance.",      A phenomenon which is specific to modern man.,       The best adaptation phenomenon that man possesses for responding to the various situation which he may have to face .,      A psychosomatic disease that one can learn to control.,3,SUP
,476,"According to Wicken’s theory, the human brain has:",Cognitive resources which are centered on action,Processing capabilities which function at peak level when different tasks call for the same resources,"Different reservoirs depending on whether one is in the information-gathering, information-processing or action phase",Unlimited information-processing resources,3,SUP
,477,"Between which components an interface mismatch causing disturbance of the biological rhythm, thus leading to reduced human performance?",Liveware – Hardware,Liveware – Software,Liveware – Environment,Liveware – Liveware,3,SUP
,478,An increase in workload usually leads to:,A longer and less frequent exchange of information,A shorter and more frequent exchange of information,A longer and more frequent exchange of information,A shorter and less frequent exchange of information,4,SUP
,479,"Which of the following characteristics apply to short-term memory? 
1: it is limited in time and size
2: it is unlimited in time and limited in size
3: it is stable and insensitive to disturbances
4: it is limited in time and unlimited in size  ","       2, 3.",      1 .,"       1, 3.","1, 2, 3, 4.",2,SUP
,480,"Stress appears:
1: only in a situation of imminent danger 
2: only when faced with real, existing and palpable phenomenon
3: sometimes via imagination, the anticipation of a situation or its outcome
4: because of the similarity with a formerly experienced stressful situation 
The correct statement(s) is (are):  ","       3 ,4","      1, 2","       2, 3","      1, 2, 4",1,SUP
,481,The capacity of the short-term memory is ,Very limited – only one item,About 30 items,Unlimited,A few items of information during a few seconds,4,SUP
,482,What is the effect of tiredness on attention? ,It has no specific effects on attention,It reduces the ability to manage multiple matters,It increases the ability to manage multiple matters,It leads to one’s attention being dispersed between different centers of interest,2,SUP
,483,"Decision-making can be influenced by the following factors:
1: people tend to conform to opinions expressed by a majority within the group they belong to  
2: people always tend to keep the future decisions in line with those their superiors have made in the past      
3: people more easily tend to select data which meet the expectations  
4: people hardly base decisions on their personal preferences but rather on rational information ","       2, 3","      1, 4","       2, 4","      1 , 3",4,SUP
,484,"Which model has some holes on layer of defences, barriers, and safeguard?",SHEL,Swiss Cheese,1 and 2,1 or 2,2,SUP
,485,What do holes on layers in the ‘Swiss Cheese’ model indicate?,Risks,Active failure,Hazards,None of above,3,SUP
,486,What is the reason of ‘Swiss Cheese’ model,       Promotes a systematic approach to safety.,      Is a logical and systematic development of the error chain approach to focus on causes of “organizational accidents”.,       Involves recognition that all components of the aviation system can contribute to and detract from safe and effective operations.,      All of above,4,SUP
,487,Which of the following ideas is not true about practical use of reason ‘Swiss Cheese’ model?,       Removes the spotlight from operator’s error,      Filter out non-contributory facts.,       Identifies missing or conflicting information.,      Provides an extremely effective briefing tool for ATC .,4,SUP
,488,Which of the following statements is true about error chain?,       In most cases accidents and incidents are result of a single cause.,      Many accidents are a linked sequence where several layers of defences fail .,       The sequence may not originate with an individual or at a high level within the organization.,      Preventing or avoiding one of these events would have led to an accident.,2,SUP
,489,Which of the following statements is true about chain of event?,       Multiple contributing causes that can lead to an accident.,      Rarely does an accident have a single cause.,"       If we can break just one link in the chain, the accident doesn’t happen.",      All of above,4,SUP
,490,Some areas of concerned are at the controller’s workplace:,Work environment; man and the system,Display system; input devices; computer assistance,Human cognitive capabilities & limitations; communication,All of above,4,SUP
,491,Goals of automation are to,Aid efficiency and Improve safety,Help to prevent errors,Increase reliability,All of above,4,SUP
